Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ITP,IT Tech Packaging Inc. Common Stock,$0.4853,0.0032,0.664%,48068916.00,China,,2540850,Basic Industries,Paper
ITRG,Integra Resources Corp. Common Shares,$3.30,0.09,2.804%,180882973.00,,,77682,,
JOB,GEE Group Inc. Common Stock,$0.5659,-0.0032,-0.562%,64229907.00,United States,,2873436,Technology,Diversified Commercial Services
KIQ,Kelso Technologies Inc Ordinary Shares,$0.669,-0.0105,-1.545%,36306688.00,Canada,,197598,,
KLR,Kaleyra Inc. Common Stock,$12.49,0.96,8.326%,391028627.00,United States,2018,437894,Technology,Internet and Information Services
LCTX,Lineage Cell Therapeutics Inc. Common Stock,$2.46,0.09,3.797%,368954114.00,United States,,817006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
LEU,Centrus Energy Corp. Class A Common Stock,$22.17,-0.56,-2.464%,307104050.00,United States,2014,102517,,
LGL,LGL Group Inc. (The) Common Stock,$10.75,-0.10,-0.922%,56676193.00,United States,,6679,Capital Goods,Industrial Machinery/Components
LNG,Cheniere Energy Inc. Common Stock,$83.48,-0.50,-0.595%,21165296392.00,United States,,786055,Public Utilities,Oil/Gas Transmission
LODE,Comstock Mining Inc. Common Stock,$3.35,-0.09,-2.616%,142225975.00,United States,,649517,Finance,Real Estate
LOV,Spark Networks Inc. American Depositary Shares (each representing one-tenth of an Ordinary Share),$5.24,-0.14,-2.602%,136538104.00,United States,2017,205249,Miscellaneous,Other Consumer Services
LSF,Laird Superfood Inc. Common Stock,$33.19,0.21,0.637%,298408104.00,,2020,38740,Consumer Non-Durables,Specialty Foods
LXFR,Luxfer Holdings PLC Ordinary Shares,$22.43,0.53,2.42%,642611986.00,United Kingdom,2012,88397,Capital Goods,Metal Fabrications
MAG,MAG Silver Corporation Ordinary Shares,$20.03,0.00,0.00%,1899644078.00,Canada,,413500,,
MCF,Contango Oil & Gas Company Common Stock (TX),$3.79,-0.20,-5.013%,760602483.00,United States,,904812,Energy,Oil & Gas Production
MHH,Mastech Digital Inc Common Stock,$16.18,-0.13,-0.797%,184954421.00,United States,,18573,Consumer Services,Professional Services
MLSS,Milestone Scientific Inc. Common Stock,$2.15,0.10,4.878%,143523669.00,United States,2015,270951,Health Care,Industrial Specialties
MMX,Maverix Metals Inc. Common Shares,$6.09,0.24,4.103%,860010215.00,,,195237,,
MSN,Emerson Radio Corporation Common Stock,$1.13,0.0276,2.504%,23778197.00,United States,,46943,Consumer Non-Durables,Consumer Electronics/Appliances
MTA,Metalla Royalty & Streaming Ltd. Common Shares,$10.42,0.14,1.362%,440797135.00,,,235694,,
MTNB,Matinas Biopharma Holdings Inc. Common Stock,$0.8297,0.0297,3.713%,169494412.00,United States,2017,1884732,Health Care,Major Pharmaceuticals
MXC,Mexco Energy Corporation Common Stock,$8.29,0.588,7.634%,17174111.00,United States,,55687,Energy,Oil & Gas Production
MYO,Myomo Inc. Common Stock,$9.61,-0.11,-1.132%,53854661.00,United States,2017,25872,Health Care,Industrial Specialties
NAK,Northern Dynasty Minerals Ltd. Common Stock,$0.5657,-0.0066,-1.153%,290147642.00,Canada,,3904281,,
NAVB,Navidea Biopharmaceuticals Inc. Common Stock,$1.75,-0.14,-7.407%,50794471.00,United States,,280714,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
NBA,New Beginnings Acquisition Corp. Common Stock,$10.01,0.03,0.301%,149349200.00,,2020,30781,,
NBH,Neuberger Berman Municipal Fund Inc. Common Stock,$15.99,0.08,0.503%,300901355.00,United States,2002,29021,,
NBO,Neuberger Berman New York Municipal Fund Inc. Common Stock,$12.75,0.04,0.315%,64737067.00,United States,2002,5298,,
NBW,Neuberger Berman California Municipal Fund Inc Common Stock,$14.30,-0.01,-0.07%,79379929.00,United States,2002,9816,,
NBY,NovaBay Pharmaceuticals Inc. Common Stock,$0.6843,-0.0009,-0.131%,28701310.00,United States,2007,256979,Health Care,Major Pharmaceuticals
NEN,New England Realty Associates Limited Partnership Class A Depositary Receipts Evidencing Units of Limited Partnership,$59.15,0.60,1.025%,216056968.00,United States,,1081,Consumer Services,Building operators
NES,Nuverra Environmental Solutions Inc. Common Stock,$1.92,-0.01,-0.518%,30720154.00,United States,2017,3710,Public Utilities,Water Supply
NEWP,New Pacific Metals Corp. Common Shares,$5.42,-0.0461,-0.843%,833793537.00,,2021,56059,,
NG,Novagold Resources Inc.,$10.23,0.16,1.589%,3389518012.00,Canada,,809779,,
NGD,New Gold Inc.,$2.01,0.03,1.515%,1368207000.00,Canada,,4429317,,
NHC,National HealthCare Corporation Common Stock,$75.65,0.55,0.732%,1164491041.00,United States,,26433,Health Care,Hospital/Nursing Management
NHS,Neuberger Berman High Yield Strategies Fund,$12.82,0.16,1.264%,250510300.00,United States,,43611,,
NML,Neuberger Berman MLP and Energy Income Fund Inc. Common Stock,$4.76,0.005,0.105%,269696497.00,,2013,115028,,
NNVC,NanoViricides Inc. Common Stock,$3.58,0.01,0.28%,41187900.00,United States,,38812,Health Care,Major Pharmaceuticals
NOG,Northern Oil and Gas Inc. Common Stock,$16.82,0.00,0.00%,1015977871.00,United States,,605117,Energy,Oil & Gas Production
NRO,Neuberger Berman Real Estate Securities Income Fund Inc. Neuberger Berman Real Estate Securities Income Fund Inc.,$4.74,0.00,0.00%,224772701.00,United States,2003,71484,,
NTIP,Network-1 Technologies Inc. Common Stock,$3.34,0.09,2.769%,80551211.00,United States,,10298,Capital Goods,Telecommunications Equipment
NXE,Nexgen Energy Ltd. Common Shares,$4.58,0.02,0.439%,2155732349.00,,,812297,,
OGEN,Oragenics Inc. Common Stock,$0.6798,-0.0002,-0.029%,78610893.00,United States,,1632141,Health Care,Major Pharmaceuticals
ORLA,Orla Mining Ltd. Common Shares,$4.71,0.19,4.204%,1119505888.00,,2020,300454,,
PCG^A,Pacific Gas & Electric Co. 6% Preferred Stock,$28.85,0.00,0.00%,,United States,,114,,
PCG^B,Pacific Gas & Electric Co. 5 1/2% Preferred Stock,$26.995,0.00,0.00%,,United States,,76,,
PCG^C,Pacific Gas & Electric Co. 5% 1st Preferred Stock,$25.45,-0.03,-0.118%,,United States,,427,,
PCG^D,Pacific Gas & Electric Co. 5% 1st  Red. Preferred Stock,$24.89,0.1438,0.581%,,United States,,938,,
PCG^E,Pacific Gas & Electric Co. 5% 1st A Preferred Stock,$24.95,0.05,0.201%,,United States,,420,,
PCG^G,Pacific Gas & Electric Co. 4.80% 1st Preferred Stock,$23.6555,0.0755,0.32%,,United States,,140,,
PCG^H,Pacific Gas & Electric Co. 4.50% 1st Preferred Stock,$22.27,0.05,0.225%,,United States,,100,,
PCG^I,Pacific Gas & Electric Co. 4.36% 1st Preferred Stock,$22.41,-0.02,-0.089%,,United States,,100,,
PED,Pedevco Corp. Common Stock,$1.38,0.02,1.471%,109657012.00,United States,,77276,,
PHGE,BiomX Inc. COmmon Stock,$6.09,0.21,3.571%,148042334.00,,2019,6546,Health Care,Major Pharmaceuticals
PLAG,Planet Green Holdings Corp. Common Stock,$1.45,0.00,0.00%,29014399.00,China,,118990,,
